economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force,log_gdp,log_sk,log_n_g_d,log_h
UGA,2010,2.1,823.488144282,6.80890226,4.3,55.9794387817383,3.623,32390802.0,3.97655288478168,38.2692490371291,26.6490161355142,2.9438913354304,12002316.0,6.7135491527708915,-1.3224179540496863,-2.5327669381617364,4.024984458701903
UGA,2011,2.5,835.620060555838,6.6959095,4.6,54.3607711791992,3.523,33354543.0,16.5643496174515,39.7552255606122,26.381152491705,2.93194913680129,13558282.0,6.728174036761206,-1.332520351567359,-2.534271387756385,3.9956427757018003
UGA,2012,2.4,795.222867553127,6.10853958,4.8,55.5063285827637,3.551,34337438.0,12.6790377224659,43.5021371397314,25.7805974372942,2.90422608403173,12226045.0,6.678622411912198,-1.355548014296613,-2.53777262220265,4.016497042769896
UGA,2013,2.0,818.285427416713,5.78252411,5.1,55.7912902832031,1.91,35337042.0,4.90520875694557,43.1091548734687,31.4664204101325,2.86955163863091,15284266.0,6.707211209011955,-1.156249227484548,-2.542169096130744,4.021617769089608
UGA,2014,1.71356786922118,896.054795546394,5.33653069,5.4,59.4263610839844,2.357,36395539.0,3.07570668958641,36.0144010819085,26.2315329113631,2.95144499872136,14471843.0,6.798001566848738,-1.33820795266698,-2.531816512992898,4.084737917215922
UGA,2015,1.71356786922118,862.934610355811,4.99643135,5.8,57.231300354003906,2.681,37531446.0,5.58968606251725,37.6892983324358,23.2629074282493,3.07329293941893,14730557.0,6.760338918057234,-1.4583100497937613,-2.516608739918801,4.047100957707594
UGA,2016,1.71356786922118,752.696571725656,5.01553297,5.9,55.0362396240234,3.002,38799152.0,5.70637504616212,31.2093620232119,24.8711103998499,3.32192491389275,15021481.0,6.623662187394344,-1.3914632810050265,-2.486276598071657,4.007991870506658
UGA,2017,1.71356786922118,765.218332297361,3.99852037,6.275,53.3121795654297,3.428,40177388.0,5.20971705914209,36.8370529334101,24.052422886294,3.49059590870242,15308568.0,6.640161194803116,-1.42493445079778,-2.4662109986459737,3.9761648147377917
UGA,2018,1.71356786922118,792.16570022814,4.02153397,6.65,53.3121795654297,3.249,41565831.0,2.61601190952274,36.6384055999567,23.7504449883722,3.39741097582772,16685865.0,6.674770587391278,-1.4375689193304506,-2.477246744810862,3.9761648147377917
UGA,2019,1.71356786922118,822.171150036357,3.79341364,7.025,53.3121795654297,3.057,42999637.0,2.867588034469,39.3610539647435,24.9024562516631,3.39132142318772,18014065.0,6.71194858510619,-1.3902037427373881,-2.47797217812677,3.9761648147377917
