Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP
2005,4.41803261671403,4960.44969790137,6.71508577295826,16.2,94.6553115844727,8.05335882665772,494006571.0,4.87098416796732,39.9990104504386
2006,4.49671915188805,5717.84447760414,6.78505234437588,20.4,95.8496627807617,7.49927013814271,499910627.0,4.26717463390264,40.5951982471375
2007,4.58142214471018,6672.17705130306,6.94538465402225,23.3,97.5620880126953,7.18066576953914,505793340.0,5.84397570531601,40.5519804229595
2008,4.79872534712572,7623.43840731336,6.98121498901221,25.9,97.772331237793,6.78002884731258,511659365.0,9.23316888222976,42.1653776178542
2009,5.08047612787559,6981.206567743,7.54495257629744,30.3,98.8194885253906,7.76325904485299,517459947.0,2.22552464081798,36.8646234810182
2010,5.02023205749281,8637.63171485475,7.24673473652018,34.0,99.5025329589844,7.1381647976514,523147480.0,3.70694322200501,39.2348377242294
2011,5.080835100269,9979.9897262503,7.16238510991073,38.7,99.7046737670898,6.62359532407489,528822706.0,5.46284592944072,41.3837200112889
2012,5.09596354268828,9823.2489447351,7.15654466515785,42.1,100.278327941895,6.34500302860844,534503260.0,3.94665867874984,41.5729077323728
2013,5.05007224315442,9971.1692721171,7.30723660927088,45.1,99.8954010009766,6.27391326261169,540118712.0,2.74483621896186,40.9181477389474
2014,5.21398771067442,9905.72193520855,7.44882902843866,47.7,100.256683349609,6.07575691219429,545661592.0,3.4282641481078,40.3527742168557
2015,5.39895195281753,8308.73911709951,7.80761049976575,53.3,98.7166595458984,6.67695090020011,551075145.0,3.14341696227424,41.5808041305058
2016,5.36097171639759,7977.19727122285,7.8638934350985,56.4,98.2215805053711,7.89037898781748,556440282.0,2.77316004021475,41.746198893934
2017,5.31187013174901,8827.8501051856,8.02926206464287,59.2,97.0797882080078,8.21675278591613,561957179.0,3.36296514855608,41.90886388128
2018,5.13762413488191,8484.48335233409,7.860488917097,62.6,95.9156265258789,8.06258795479693,567711159.0,3.40250179472038,45.6160678319738
2019,5.07070556113424,8282.78290882792,7.8739367122283,67.9,95.4034881591797,8.09033318956351,573311679.0,2.50460959460401,44.9975725197578
2020,4.91692068362786,6904.27677369596,8.31105764066864,73.3,95.2875366210938,10.2091587750212,578091505.0,2.52663500084706,45.0877732963407
2021,4.87421755281849,7970.6164425206,8.26241474624555,75.3,95.8407897949219,9.16082734268685,581884231.0,4.27166381536798,51.9411047307609
2022,4.87421755281849,9111.34927084769,7.90475075385259,76.6,95.13623046875,6.88224992720831,585648822.0,8.33370630096231,55.088454453885
2023,4.87421755281849,10196.271088969,7.90987626464166,79.7,96.1171875,6.08952489876161,589889543.0,5.08677483158112,47.7163472897433
2024,4.87421755281849,10382.3911125152,7.90987626464166,81.4,96.033821105957,5.74320450887568,594158638.0,3.83540271728533,48.6996803706071
2004,1.46,409.296298284117,3.5405724,0.361434,66.7765579223633,1.498,5781626.0,10.4622667314208,66.0797516222837
2005,1.05,466.061506997741,3.33673191,0.850357,69.1728973388672,1.35,5869523.0,7.16541759946639,71.7926462737852
2006,1.10632662750849,579.391947440719,2.93200922,1.16989,72.6434326171875,1.199,5963200.0,6.54559439052787,81.9613754162421
2007,1.16265325501699,697.323013673925,3.12986231,1.64,75.1448974609375,1.068,6056236.0,4.66197269469701,79.2126289035269
2008,1.21897988252548,885.747376088762,2.76727295,3.55,77.3106689453125,0.944,6148969.0,7.62880887577516,81.8491820941317
2009,1.27530651003398,935.03237283283,3.46300411,6.0,79.8850708007812,0.835,6241642.0,0.141187674980385,76.930826218652
2010,1.49069025576689,1125.91610151261,2.91154933,7.0,82.9912033081055,0.708,6334194.0,5.98254521550082,84.7203378916677
2011,1.48941620134282,1361.54704394913,1.94457507,9.0,88.8513579730692,0.96,6426590.0,7.5689885610998,91.6986958680216
2012,1.40717344227057,1563.5650771337,2.07637572,10.7477,92.3112588922596,1.208,6518978.0,4.2551267783209,98.1851264313662
2013,2.91900447025853,1812.51774424651,2.39984965,12.5,97.6909883464738,1.469,6611385.0,6.37142717782947,98.1791466159604
2014,2.61316360845178,1981.03910900473,2.29845548,14.26,99.6774414463772,1.733,6703172.0,4.12924306873771,99.0597382933399
2015,2.61316360845178,2121.01339097363,2.45366454,18.2,100.973160602492,2.006,6801645.0,1.27735427102992,85.798321703681
2016,2.61316360845178,2303.22156035363,2.36087489,21.87,99.7526047861459,2.634,6908802.0,1.59691227583204,75.0918909204124
2017,2.61316360845178,2432.43059478511,2.52606821,25.5104,101.054475670832,3.268,7018147.0,0.825478607568026,75.0918909204124
2018,2.61316360845178,2545.1075420815,2.24630046,36.3,98.4586280857413,2.897,7128045.0,2.04039266890201,75.0918909204124
2019,2.61316360845178,2589.32081035237,2.60312223,47.0323,93.5781951138441,2.531,7237636.0,3.32255881256925,75.0918909204124
2020,2.61316360845178,2583.77730696131,2.05965185,54.0,90.7867199075151,2.349,7346533.0,5.10407262959919,75.0918909204124
2021,2.61316360845178,2526.05105018529,2.74392009,62.0,89.6962813896803,2.08,7453194.0,3.75562036658877,75.0918909204124
2022,2.61316360845178,2046.40440255621,2.01825476,62.7001,88.2502219689641,1.209,7559007.0,22.9562225132056,75.0918909204124
2023,2.61316360845178,2066.94979776957,1.32651615,63.6255,88.83898879882,1.186,7664993.0,31.2301341732646,75.0918909204124
2024,2.61316360845178,2123.97909415109,1.32651615,63.6255,87.2513184690094,1.174,7769819.0,23.1305695942588,75.0918909204124
2004,2.61,4600.68371412993,7.99923086,9.0,73.5863189697266,7.85,4599279.0,1.19509671165543,90.9727970270956
2005,2.5,4602.19804637945,7.54867649,10.14,72.5898818969727,8.249,4671102.0,1.19509671165543,92.762656272585
2006,2.58,4635.2514117486,8.66057873,15.0,74.5245513916016,8.679,4751136.0,1.19509671165543,91.0693970298409
2007,2.33,5125.25809960149,8.55984211,18.74,77.1630706787109,8.98,4844118.0,1.19509671165543,97.9677079660494
2008,1.68,5912.04532820842,7.81751728,22.53,78.1084899902344,7.666,4925354.0,1.19509671165543,106.625673176194
2009,1.58,7090.85493856621,7.0073576,30.14,76.3097229003906,6.355,4992287.0,1.19509671165543,90.3978388619092
2010,1.46,7625.81051551165,7.43864489,43.68,77.481213037485,6.768,5041288.0,3.98347941855833,95.0966529416243
2011,1.43,7834.96257108993,8.17744446,52.0,75.2322738386308,7.352,5096020.0,4.97148571692384,102.139882412503
2012,1.79,8406.98405608118,7.00420094,61.2498,74.879013056623,7.952,5235742.0,6.58147447683677,88.5455019230591
2013,2.1,8162.37929361396,7.06742191,70.5,73.7544885716129,8.477,5743436.0,4.82101956297399,86.1743285920565
2014,2.1,7577.6413302369,7.52191401,73.0,62.027936833509,8.84,6346990.0,1.8546042134091,79.8171565925627
2015,2.1,7714.1099998804,7.41596651,74.0,63.426873857404,9.312,6472469.0,-3.74914524799629,71.8390426347811
2016,2.1,8089.012088155,7.92344952,76.11,66.1112151282531,9.794,6323060.0,-0.783359624361508,67.7236177908116
2017,2.1,8608.21084982387,7.80357552,78.1808,67.3921729038641,10.258,6160128.0,4.32135218303191,68.4554292593276
2018,2.1,9174.53666204759,8.07031727,80.9,66.8744426101971,10.755,5984119.0,6.07698907889607,68.2573073043718
2019,2.1,8905.88005497437,8.68533897,81.4812,67.6409968146899,11.301,5794594.0,3.00538949390383,62.98091601016
2020,2.1,5561.19166950397,7.48221779,82.0665,67.5957261429816,13.252,5702398.0,84.8643330472041,50.1298042879627
2021,2.1,4045.37391066234,4.40006208,82.656,67.2569563414062,12.715,5718122.0,154.756096023393,78.8286204025241
2022,2.1,3654.35845534878,4.91255951,82.798,68.126669142746,11.105,5744489.0,171.205491336641,114.888278265666
2023,2.1,3477.72489842684,5.57497263,83.4933,67.2665475619853,10.985,5773493.0,221.341644023365,104.206410069182
2024,2.1,3477.72489842684,5.57497263,83.4933,67.2665475619853,10.985,5805962.0,45.2430422716718,104.206410069182
2004,4.2256433798967,4385.89813693868,6.59526750148887,16.6,93.2899475097656,8.75018243421292,548455563.0,4.38032286534608,45.387572044076
2005,4.39268427014006,5229.89898425288,6.68717067859927,16.6,94.3645324707031,8.23739951394743,555120780.0,4.44057565687913,45.4005497130224
