economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP,GFCF_GDP,Population_Growth,Labor_Force
PSE,2019,4.07809722538055,3656.85827137011,9.18576908,70.6226,95.1031699169302,25.34,4685306.0,1.58018333639455,68.9934922812035,25.2371085884379,2.51178246264674,1254417.0
PSE,2020,4.07809722538055,3233.56863835858,10.27610207,76.01,98.2745744181212,25.895,4803269.0,-0.735332001092191,67.2881912475775,22.7186978888338,2.48654993848325,1193390.0
PSE,2021,4.07809722538055,3678.63565662194,10.4347353,82.1783,94.2000710812671,26.39,4922749.0,1.23748102831369,73.0835496162129,23.8748688497432,2.45703865277568,1301690.0
PSE,2022,,3799.95527015163,9.70613861,88.6469,93.7663564717263,24.42,5043612.0,3.74122391852077,82.3949283869453,25.0199577365579,2.42553777623863,1391230.0
PSE,2023,,3455.02852911712,10.73343945,86.6377,91.1695163220973,,5165775.0,5.87110177678988,79.5331663669115,24.0543705421926,2.39326476511584,
PSE,2024,,2592.30591217647,,,,,5289152.0,53.6691458303782,81.3136801569531,21.847991773089,2.36027908447521,
PSS,2004,6.52423796358515,2270.72657843606,5.04686630694761,,93.1831893920898,4.3406725276094,2145505.0,4.96407576747217,,,1.16796609205945,770753.0
PSS,2005,6.3711290783445,2492.38724073066,5.5121883498091,,93.7669219970703,3.8404573462192,2170029.0,3.9514623522091,,,1.13655756125424,775113.0
PSS,2006,6.25935035806552,2586.87375078468,5.33058794206868,,93.2364807128906,3.81456389998427,2194265.0,4.42981143370254,,,1.11066069971186,794875.0
PSS,2007,6.11629463995254,2819.69749738645,5.07953307222033,,93.050163269043,3.76264674833737,2218230.0,4.36959514201882,,,1.08624420608688,811061.0
PSS,2008,6.14441326716118,2989.2238467677,4.94411641967188,,91.4412536621094,3.66517406587763,2240739.0,11.0064471756381,,,1.00961415963041,825562.0
PSS,2009,6.48397821381023,2668.40106360978,5.41685559455354,,92.5011367797852,3.60850865304197,2262456.0,5.31100954595293,,,0.964522671636588,839358.0
PSS,2010,6.35274497417633,2900.92919415648,5.10775912358753,,93.2344284057617,3.50675202326758,2289399.0,2.10244243416258,,,1.183838881745,854064.0
PSS,2011,6.14511257085695,3339.33261214487,4.74234495160517,,93.1708526611328,3.44436830760268,2320899.0,4.87864641704221,,,1.36652729130065,875415.0
PSS,2012,6.09283551842644,3493.08705679511,4.96491984166164,,93.4062576293945,3.54707816512722,2351924.0,2.0490188352116,,,1.32791059696534,882351.0
PSS,2013,5.994473698656,3584.6215764592,4.82330968927609,,93.7856826782227,3.42532155080918,2382931.0,1.60563054554341,,,1.30975260096464,888491.0
PSS,2014,5.8998890327722,3846.91150223659,4.82532348585279,,94.5068435668945,3.39737128470569,2414338.0,1.45142452367373,,,1.309388684516,894882.0
PSS,2015,6.00420871356254,3722.7745565917,4.84192417092105,,95.8264770507812,3.37020462675283,2445989.0,0.648242939254492,,,1.30244106727406,906035.0
PSS,2016,5.99364069773397,3856.70459060951,4.79480678149596,,95.3408126831055,3.36311039358415,2477794.0,1.07339388853343,,,1.29191080769398,916728.0
PSS,2017,6.00782515652087,4099.79965867267,4.62651268238975,,95.6800384521484,3.40034043733734,2509999.0,1.58394248575812,,,1.29137065436152,931775.0
PSS,2018,5.8614447269574,4247.0901276249,5.1398246046457,,96.020149230957,3.35231302156857,2542009.0,2.89621932270298,,,1.26723585430322,944987.0
PSS,2019,5.81977355159843,4136.34140894161,5.4466335838218,,95.7787094116211,3.32798136589447,2568656.0,1.40719939417024,,,1.0428091638606,956150.0
PSS,2020,6.04037786668145,3592.04110507296,6.22241446975887,,94.1969833374023,3.30655660526839,2595522.0,0.386388224517504,,,1.04048475391698,940363.0
PSS,2021,6.04643192802273,3600.81254375167,7.27624644630544,,94.8380432128906,3.35468526106548,2625493.0,2.47788271992717,,,1.1481035475349,959356.0
PSS,2022,,3896.81060847355,5.91999771751193,,95.3527603149414,3.60681620269367,2656049.0,6.09871755232029,,,1.15709923057953,993737.0
PSS,2023,,4173.79964748513,5.68145773238409,,95.8176727294922,3.52057525691559,2689224.0,7.92164684826777,,,1.24129959209673,1012784.0
PSS,2024,,4453.58561280276,,,94.1635894775391,3.52751412823486,2722467.0,2.8195484170954,,,1.22857783792362,1032153.0
PST,2004,4.37509861361541,32671.0834694674,10.6378959554644,,99.359489440918,6.67204910657906,1041890752.0,2.07924464636088,48.8751932354852,22.3690497413672,0.518876120315171,518283018.0
PST,2005,4.29275640211855,34219.0204237417,10.7163645378717,,99.4646301269531,6.4091008362879,1047140108.0,2.3753195897788,51.0077219194158,22.8783244890236,0.502564815977713,523408746.0
PST,2006,4.38771331918902,35820.4258144709,10.8000929928971,,98.8227691650391,5.994063325313,1052866351.0,2.45792444195865,53.7456671257982,23.1947279864782,0.545356150465832,529102066.0
PST,2007,4.3633982743587,38870.3636110318,10.7933430886248,,98.9619827270508,5.57196004328002,1059147302.0,2.32761128891476,54.7024472855933,23.0706992524796,0.594784935011008,533460932.0
PST,2008,4.43414262996636,40922.2537544049,10.9897477916386,,98.8146896362305,5.90228542517582,1065603711.0,4.15279708110293,57.2798524365616,22.6802793358558,0.607735102357025,537966469.0
PST,2009,4.55058005724477,38339.4065630367,11.9167327171208,,98.6722183227539,8.07274225977277,1071118156.0,0.839262246793887,49.4819156318551,20.8444667215104,0.516160510005987,538964572.0
PST,2010,4.63105904810715,39801.8641147794,11.8583067926494,,98.6096725463867,8.34726962592943,1076208648.0,1.99621236745887,54.4570351096697,20.4525251163463,0.474124527896789,539782933.0
PST,2011,4.64909556853627,42635.8220864603,11.9242423350797,,98.4443588256836,8.06019449389029,1079468050.0,3.3298532335065,58.3851696973325,20.7457640396938,0.302401977706299,540550977.0
PST,2012,4.5000478280856,42374.8223653419,12.0821003134353,,98.432502746582,8.11703125262048,1084193277.0,2.48567562177015,58.7316776887312,21.0355691727301,0.436781344037018,544019758.0
PST,2013,4.91072201877538,42643.099618304,12.0802277806375,,98.6408309936523,8.01055114325588,1088424167.0,1.40858109183019,58.4295340186293,21.0022727459569,0.389474489390099,546304035.0
PST,2014,4.86985102721875,43322.2029738924,12.2583369899197,,97.9960403442383,7.46206103870454,1093025476.0,0.906794000434246,58.2965136824546,21.2516476216688,0.421858541514507,548815775.0
PST,2015,4.45469105172652,40775.9479386213,12.6319773086366,,97.9241409301758,6.88380070613878,1097890139.0,0.36804684232536,56.6599997566859,21.4326042239674,0.444076527741648,551638025.0
PST,2016,4.36993976321444,41502.2222895522,12.76397392713,,97.6491088867188,6.41054450626655,1102966925.0,0.607397074641719,55.0563588663846,21.478387513301,0.461347089514667,556031757.0
PST,2017,4.42585957797107,43114.2688521392,12.71663479268,,97.7124328613281,5.85021228229905,1107161559.0,1.73079959118887,57.0436446034332,21.7974546663648,0.379583274623515,560234298.0
PST,2018,4.34508003421891,45535.8018785923,12.6632774069889,,97.6526718139648,5.29449359834603,1111377470.0,1.7386086198818,58.3139473708289,22.0008767246086,0.380062376158498,564637595.0
PST,2019,4.36326289291491,45840.3536114764,12.8480081595041,,98.2489624023438,4.93863446884342,1114898817.0,1.61963190184048,57.3640224856089,22.1234145559895,0.316344378025529,569095135.0
PST,2020,4.34796517087428,44743.7389324311,14.2778383582328,,98.4552383422852,6.72547708283435,1117007476.0,0.632267331911716,52.7599442931164,22.3407216023049,0.188955928303597,562946446.0
